movie_id,title,tags
19995,Avatar,"inthe22ndcentury,aparaplegicmarineisdispatchedtothemoonpandoraonauniquemission,butbecomestornbetweenfollowingordersandprotectinganaliencivilization.actionadventurefantasysciencefictioncultureclashfuturespacewarspacecolonysocietyspacetravelfuturisticromancespacealientribealienplanetcgimarinesoldierbattleloveaffairantiwarpowerrelationsmindandsoul3dsamworthingtonzoesaldanasigourneyweaverjamescameron"
285,Pirates of the Caribbean: At World's End,"captainbarbossa,longbelievedtobedead,hascomebacktolifeandisheadedtotheedgeoftheearthwithwillturnerandelizabethswann.butnothingisquiteasitseems.adventurefantasyactionoceandrugabuseexoticislandeastindiatradingcompanyloveofone'slifetraitorshipwreckstrongwomanshipalliancecalypsoafterlifefighterpirateswashbuckleraftercreditsstingerjohnnydepporlandobloomkeiraknightleygoreverbinski"
206647,Spectre,"acrypticmessagefrombond’spastsendshimonatrailtouncoverasinisterorganization.whilembattlespoliticalforcestokeepthesecretservicealive,bondpeelsbackthelayersofdeceittorevealtheterribletruthbehindspectre.actionadventurecrimespybasedonnovelsecretagentsequelmi6britishsecretserviceunitedkingdomdanielcraigchristophwaltzléaseydouxsammendes"
49026,The Dark Knight Rises,"followingthedeathofdistrictattorneyharveydent,batmanassumesresponsibilityfordent'scrimestoprotectthelateattorney'sreputationandissubsequentlyhuntedbythegothamcitypolicedepartment.eightyearslater,batmanencountersthemysteriousselinakyleandthevillainousbane,anewterroristleaderwhooverwhelmsgotham'sfinest.thedarkknightresurfacestoprotectacitythathasbrandedhimanenemy.actioncrimedramathrillerdccomicscrimefighterterroristsecretidentityburglarhostagedramatimebombgothamcityvigilantecover-upsuperherovillainesstragicheroterrorismdestructioncatwomancatburglarimaxfloodcriminalunderworldbatmanchristianbalemichaelcainegaryoldmanchristophernolan"
49529,John Carter,"johncarterisawar-weary,formermilitarycaptainwho'sinexplicablytransportedtothemysteriousandexoticplanetofbarsoom(mars)andreluctantlybecomesembroiledinanepicconflict.it'saworldonthebrinkofcollapse,andcarterrediscovershishumanitywhenherealizesthesurvivalofbarsoomanditspeoplerestsinhishands.actionadventuresciencefictionbasedonnovelmarsmedallionspacetravelprincessaliensteampunkmartianescapeedgarriceburroughsalienracesuperhumanstrengthmarscivilizationswordandplanet19thcentury3dtaylorkitschlynncollinssamanthamortonandrewstanton"
559,Spider-Man 3,"theseeminglyinvinciblespider-mangoesupagainstanall-newcropofvillain–includingtheshape-shiftingsandman.whilespider-man’ssuperpowersarealteredbyanalienorganism,hisalterego,peterparker,dealswithnemesiseddiebrockandalsogetscaughtupinalovetriangle.fantasyactionadventuredualidentityamnesiasandstormloveofone'slifeforgivenessspiderwretchdeathofafriendegomaniasandnarcismhostilitymarvelcomicsequelsuperherorevengetobeymaguirekirstendunstjamesfrancosamraimi"
38757,Tangled,"whenthekingdom'smostwanted-andmostcharming-banditflynnriderhidesoutinamysterioustower,he'stakenhostagebyrapunzel,abeautifulandfeistytower-boundteenwith70feetofmagical,goldenhair.flynn'scuriouscaptor,who'slookingforherticketoutofthetowerwhereshe'sbeenlockedawayforyears,strikesadealwiththehandsomethiefandtheunlikelyduosetsoffonanaction-packedescapade,completewithasuper-cophorse,anover-protectivechameleonandagruffgangofpubthugs.animationfamilyhostagemagichorsefairytalemusicalprincessanimationtowerblondewomanselfishnesshealingpowerbasedonfairytaleduringcreditsstingerhealinggiftanimalsidekickzacharylevimandymooredonnamurphybyronhowardnathangreno"
99861,Avengers: Age of Ultron,"whentonystarktriestojumpstartadormantpeacekeepingprogram,thingsgoawryandearth’smightiestheroesareputtotheultimatetestasthefateoftheplanethangsinthebalance.asthevillainousultronemerges,itisuptotheavengerstostophimfromenactinghisterribleplans,andsoonuneasyalliancesandunexpectedactionpavethewayforanepicanduniqueglobaladventure.actionadventuresciencefictionmarvelcomicsequelsuperherobasedoncomicbookvisionsuperheroteamduringcreditsstingermarvelcinematicuniverse3drobertdowneyjr.chrishemsworthmarkruffalojosswhedon"
767,Harry Potter and the Half-Blood Prince,"asharrybeginshissixthyearathogwarts,hediscoversanoldbookmarkedas'propertyofthehalf-bloodprince',andbeginstolearnmoreaboutlordvoldemort'sdarkpast.adventurefantasyfamilywitchmagicbroomschoolofwitchcraftwizardryapparitionteenagecrushwerewolfdanielradclifferupertgrintemmawatsondavidyates"
209112,Batman v Superman: Dawn of Justice,"fearingtheactionsofagod-likesuperheroleftunchecked,gothamcity’sownformidable,forcefulvigilantetakesonmetropolis’smostrevered,modern-daysavior,whiletheworldwrestleswithwhatsortofheroitreallyneeds.andwithbatmanandsupermanatwarwithoneanother,anewthreatquicklyarises,puttingmankindingreaterdangerthanit’severknownbefore.actionadventurefantasydccomicsvigilantesuperherobasedoncomicbookrevengesuperpowersclarkkentbrucewaynedcextendeduniversebenaffleckhenrycavillgalgadotzacksnyder"
1452,Superman Returns,"supermanreturnstodiscoverhis5-yearabsencehasallowedlexluthortowalkfree,andthatthosehewasclosesttoofeltabandonedandhavemovedon.luthorplotshisultimaterevengethatcouldseemillionskilledandchangethefaceoftheplanetforever,aswellasriddinghimselfofthemanofsteel.adventurefantasyactionsciencefictionsavingtheworlddccomicsinvulnerabilitysequelsuperherobasedoncomicbookkryptonitesuperpowerssuperhumanstrengthlexluthorbrandonrouthkevinspaceykatebosworthbryansinger"
10764,Quantum of Solace,"quantumofsolacecontinuestheadventuresofjamesbondaftercasinoroyale.betrayedbyvesper,thewomanheloved,007fightstheurgetomakehislatestmissionpersonal.pursuinghisdeterminationtouncoverthetruth,bondandminterrogatemr.white,whorevealsthattheorganizationthatblackmailedvesperisfarmorecomplexanddangerousthananyonehadimagined.adventureactionthrillercrimekillingundercoversecretagentbritishsecretservicedanielcraigolgakurylenkomathieuamalricmarcforster"
